Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
DigiPlex Oslo Ulven DNAS,Oslo,Oslo,15.0,50.66,Good,59.2,40.63,18.57,baseline_pue; load_growth_rate; energy_pct_opex,46.68,53.11,46.59,54.71,48.66,52.66,HIGH
151 Front St,Toronto,Ontario,20.0,55.11,Good,63.76,45.25,18.51,baseline_pue; load_growth_rate; energy_pct_opex,51.24,57.63,51.03,59.17,53.11,57.11,HIGH
Digital Realty PHX11,Mesa,AZ,36.0,58.89,Good,67.65,49.15,18.5,baseline_pue; load_growth_rate; energy_pct_opex,55.1,61.48,54.82,62.96,56.89,60.89,HIGH
NTT PH1,Mesa,AZ,36.0,58.89,Good,67.65,49.15,18.5,baseline_pue; load_growth_rate; energy_pct_opex,55.1,61.48,54.82,62.96,56.89,60.89,HIGH
Equinix DC10,Ashburn,VA,18.0,53.69,Good,62.29,43.81,18.48,baseline_pue; load_growth_rate; energy_pct_opex,49.81,56.17,49.62,57.74,51.69,55.69,HIGH
Digital Realty IAD35,Ashburn,VA,18.0,53.69,Good,62.29,43.81,18.48,baseline_pue; load_growth_rate; energy_pct_opex,49.81,56.17,49.62,57.74,51.69,55.69,HIGH
CoreSite VA2,Reston,VA,18.0,53.69,Good,62.29,43.81,18.48,baseline_pue; load_growth_rate; energy_pct_opex,49.81,56.17,49.62,57.74,51.69,55.69,HIGH
GDC - Mumbai 6,Mumbai,Maharashtra,19.2,54.38,Good,62.98,44.54,18.44,baseline_pue; load_growth_rate; energy_pct_opex,50.53,56.86,50.31,58.43,52.38,56.38,HIGH
Urbacon DC Toronto DC7,Toronto,Ontario,22.0,57.02,Good,64.02,45.68,18.34,baseline_pue; load_growth_rate; energy_pct_opex,53.25,59.5,52.96,61.07,53.42,57.42,HIGH
MIN5,Minneapolis,MN,1.5,37.04,Moderate,45.83,27.5,18.33,baseline_pue; load_growth_rate; energy_pct_opex,33.4,39.64,32.98,41.11,35.04,39.04,HIGH
MSP4,Minneapolis,MN,0.779,37.04,Moderate,45.83,27.5,18.33,baseline_pue; load_growth_rate; energy_pct_opex,33.4,39.64,32.98,41.11,35.04,39.04,HIGH
Aligned PHX-02,Phoenix,AZ,48.0,59.31,Good,67.99,49.71,18.28,baseline_pue; load_growth_rate; energy_pct_opex,55.64,61.84,55.25,63.36,57.31,61.31,HIGH
Vantage AZ14,Goodyear,AZ,48.0,59.31,Good,67.99,49.71,18.28,baseline_pue; load_growth_rate; energy_pct_opex,55.64,61.84,55.25,63.36,57.31,61.31,HIGH
Stream Goodyear,Goodyear,AZ,48.0,59.31,Good,67.99,49.71,18.28,baseline_pue; load_growth_rate; energy_pct_opex,55.64,61.84,55.25,63.36,57.31,61.31,HIGH
Compass Mesa,Mesa,AZ,48.0,59.31,Good,67.99,49.71,18.28,baseline_pue; load_growth_rate; energy_pct_opex,55.64,61.84,55.25,63.36,57.31,61.31,HIGH
Equinix DC12,Ashburn,VA,20.0,54.1,Good,62.62,44.37,18.25,baseline_pue; load_growth_rate; energy_pct_opex,50.34,56.52,50.05,58.13,52.1,56.1,HIGH
Templus Lisbon,Lisbon,Estremadura,1.3,36.77,Moderate,45.5,27.3,18.2,baseline_pue; load_growth_rate; energy_pct_opex,33.19,39.33,32.72,40.83,34.77,38.77,HIGH
NT Nonthaburi 1,Nonthaburi,,1.7,36.77,Moderate,45.5,27.3,18.2,baseline_pue; load_growth_rate; energy_pct_opex,33.19,39.33,32.72,40.83,34.77,38.77,HIGH
NT Nonthaburi 2,Nonthaburi,,1.7,36.77,Moderate,45.5,27.3,18.2,baseline_pue; load_growth_rate; energy_pct_opex,33.19,39.33,32.72,40.83,34.77,38.77,HIGH
atNorth SWE02,Kista,Stockholm,30.0,57.16,Good,65.75,47.56,18.19,baseline_pue; load_growth_rate; energy_pct_opex,53.5,59.63,53.11,61.2,55.16,59.16,HIGH
atNorth FIN03,Espoo,,18.0,52.29,Good,60.74,42.55,18.19,baseline_pue; load_growth_rate; energy_pct_opex,48.54,54.67,48.25,56.32,50.29,54.29,HIGH
Axon Reservoir,Liverpool,"North Wales, Merseyside & Cheshire",3.6,76.66,Excellent,81.42,63.3,18.12,baseline_pue; load_growth_rate; energy_pct_opex,72.05,77.47,73.04,80.24,73.06,77.06,HIGH
Digital Realty IAD36,Ashburn,VA,22.0,54.43,Good,62.9,44.82,18.08,baseline_pue; load_growth_rate; energy_pct_opex,50.78,56.81,50.4,58.45,52.43,56.43,HIGH
Digital Realty IAD38,Ashburn,VA,22.0,54.43,Good,62.9,44.82,18.08,baseline_pue; load_growth_rate; energy_pct_opex,50.78,56.81,50.4,58.45,52.43,56.43,HIGH
DigiPlex Oslo Rosenholm DRAS,Oslo,Oslo,18.0,51.6,Good,59.98,41.9,18.08,baseline_pue; load_growth_rate; energy_pct_opex,47.89,53.92,47.57,55.6,49.6,53.6,HIGH
CN1,Chennai,Tamil Nadu,24.0,55.13,Good,63.6,45.55,18.05,baseline_pue; load_growth_rate; energy_pct_opex,51.5,57.51,51.1,59.14,53.13,57.13,HIGH
Chennai II,Chennai,Tamil Nadu,24.0,55.13,Good,63.6,45.55,18.05,baseline_pue; load_growth_rate; energy_pct_opex,51.5,57.51,51.1,59.14,53.13,57.13,HIGH
