Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Weismullerstrasse 32-40 (FRA7),Frankfurt,,1.8,52.55,Good,66.72,34.51,32.21,baseline_pue; load_growth_rate; energy_pct_opex,41.23,59.32,47.15,57.88,50.55,54.55,HIGH
Cessnalaan 1-33 AMS3,Amsterdam,,2.2,51.93,Good,65.25,34.49,30.76,baseline_pue; load_growth_rate; energy_pct_opex,41.69,58.05,46.73,57.06,49.93,53.93,HIGH
JFK12,New York,NY,2.5,60.68,Good,74.14,43.67,30.47,baseline_pue; load_growth_rate; energy_pct_opex,50.76,66.88,55.49,65.82,58.68,62.68,HIGH
ITENOS Frankfurt 3,Eschborn,Hesse,2.4,57.3,Good,70.62,40.25,30.37,baseline_pue; load_growth_rate; energy_pct_opex,47.36,63.41,52.12,62.41,55.3,59.3,HIGH
Science PArk 121 (AMS9),Amsterdam,,2.6,54.57,Good,67.43,38.06,29.37,baseline_pue; load_growth_rate; energy_pct_opex,45.1,60.33,49.49,59.59,52.57,56.57,HIGH
Epsilon Global Hubs,Singapore,N/A,2.5,66.53,Good,76.8,47.59,29.21,baseline_pue; load_growth_rate; energy_pct_opex,56.3,72.63,61.27,71.75,62.93,66.93,HIGH
29-31 FRA12,Frankfurt,,1.5,48.76,Moderate,63.59,34.51,29.08,baseline_pue; load_growth_rate; energy_pct_opex,40.75,56.05,43.18,54.25,46.76,50.76,HIGH
BOS-1,Boston,MA,3.6,65.94,Good,78.89,50.15,28.74,baseline_pue; load_growth_rate; energy_pct_opex,57.01,71.73,60.91,70.94,63.94,67.94,HIGH
7-9 avenue des Arts et MEtiers PAR3,Paris,,2.8,49.42,Moderate,61.76,33.34,28.42,baseline_pue; load_growth_rate; energy_pct_opex,40.34,54.79,44.44,54.34,47.42,51.42,HIGH
Fortress SF1,San Francisco,CA,3.0,68.45,Good,78.37,50.18,28.19,baseline_pue; load_growth_rate; energy_pct_opex,58.77,74.28,63.27,73.58,64.85,68.85,HIGH
EWR20,Clifton,NJ,2.2,45.05,Moderate,58.16,30.01,28.15,baseline_pue; load_growth_rate; energy_pct_opex,36.03,51.03,39.86,50.16,43.05,47.05,HIGH
EWR14,Carlstadt,NJ,2.2,45.05,Moderate,58.16,30.01,28.15,baseline_pue; load_growth_rate; energy_pct_opex,36.03,51.03,39.86,50.16,43.05,47.05,HIGH
Théséé Data Center 2,Paris,Île-de-France,3.0,50.49,Good,62.63,34.78,27.85,baseline_pue; load_growth_rate; energy_pct_opex,41.72,55.71,45.56,55.36,48.49,52.49,HIGH
Lyoner Strasse 28 FRA28,Frankfurt,,3.9,62.77,Good,75.13,47.66,27.47,baseline_pue; load_growth_rate; energy_pct_opex,54.43,68.12,57.86,67.65,60.77,64.77,HIGH
Equinix BA2,Barcelona,Catalonia,3.4,47.92,Moderate,59.57,32.81,26.76,baseline_pue; load_growth_rate; energy_pct_opex,39.67,52.77,43.1,52.69,45.92,49.92,HIGH
nLighten Amsterdam AMS ll,Schiphol-Rijk,,4.2,61.7,Good,71.98,45.55,26.43,baseline_pue; load_growth_rate; energy_pct_opex,53.85,66.69,56.89,66.48,58.1,62.1,HIGH
NT Banggrak,Bangkok,,2.7,41.34,Moderate,53.67,27.3,26.37,baseline_pue; load_growth_rate; energy_pct_opex,33.19,46.73,36.31,46.28,39.34,43.34,HIGH
Calle de Albasanz 71 MAD1,Madrid,,3.6,48.76,Moderate,60.26,33.94,26.32,baseline_pue; load_growth_rate; energy_pct_opex,40.75,53.49,43.97,53.49,46.76,50.76,HIGH
SJC14,Santa Clara,CA,4.8,70.43,Good,81.33,55.03,26.3,baseline_pue; load_growth_rate; energy_pct_opex,61.8,75.77,65.43,75.41,68.43,72.43,HIGH
Esbogatan 11 (STO5),Stockholm,Kista,3.4,40.15,Moderate,51.74,25.5,26.24,baseline_pue; load_growth_rate; energy_pct_opex,31.53,44.98,35.3,44.93,38.15,42.15,HIGH
Calle de Albasanz 73 MAD2,Madrid,,2.4,41.64,Moderate,54.4,28.2,26.2,baseline_pue; load_growth_rate; energy_pct_opex,34.14,47.36,36.52,46.68,39.64,43.64,HIGH
Weismullerstrase 36 (FRA8),Frankfurt,,5.4,65.21,Good,77.14,50.95,26.19,baseline_pue; load_growth_rate; energy_pct_opex,57.58,70.22,60.41,69.98,63.21,67.21,HIGH
Equinix TY2,Tokyo,Tokyo,5.0,63.14,Good,74.96,48.9,26.06,baseline_pue; load_growth_rate; energy_pct_opex,55.54,68.07,58.35,67.89,61.14,65.14,HIGH
Equinix FR1,Frankfurt,Hesse,6.0,65.84,Good,77.66,51.81,25.85,baseline_pue; load_growth_rate; energy_pct_opex,58.39,70.76,61.07,70.58,63.84,67.84,HIGH
ITENOS Frankfurt Eschborn,Eschborn,Hesse,6.0,65.84,Good,77.66,51.81,25.85,baseline_pue; load_growth_rate; energy_pct_opex,58.39,70.76,61.07,70.58,63.84,67.84,HIGH
ESbogatan 11 (STO1),Stockholm,Kista,3.3,39.57,Moderate,51.26,25.5,25.76,baseline_pue; load_growth_rate; energy_pct_opex,31.3,44.48,34.69,44.37,37.57,41.57,HIGH
Conapto Stockholm 2 South,Skarholmen,,4.0,44.63,Moderate,54.11,28.44,25.67,baseline_pue; load_growth_rate; energy_pct_opex,36.85,49.06,39.91,49.28,41.03,45.03,HIGH
Bahnhof Pionen,Stockholm,Stockholm,4.0,43.03,Moderate,54.11,28.44,25.67,baseline_pue; load_growth_rate; energy_pct_opex,35.25,47.46,38.31,47.68,41.03,45.03,HIGH
SJC35,Santa Clara,CA,6.0,71.63,Good,82.31,56.65,25.66,baseline_pue; load_growth_rate; energy_pct_opex,63.35,76.8,66.68,76.56,69.63,73.63,HIGH
SP3,Osasco,São Paulo,4.0,49.88,Moderate,61.12,35.57,25.55,baseline_pue; load_growth_rate; energy_pct_opex,42.29,54.41,45.17,54.55,47.88,51.88,HIGH
SJC10,Santa Clara,CA,6.3,71.86,Good,82.5,56.96,25.54,baseline_pue; load_growth_rate; energy_pct_opex,63.64,76.99,66.92,76.77,69.86,73.86,HIGH
Equinix TY4,Tokyo,Tokyo,6.0,64.33,Good,75.94,50.52,25.42,baseline_pue; load_growth_rate; energy_pct_opex,57.08,69.1,59.61,69.04,62.33,66.33,HIGH
Telehouse Koto 1,Tokyo,Tokyo,6.0,64.33,Good,75.94,50.52,25.42,baseline_pue; load_growth_rate; energy_pct_opex,57.08,69.1,59.61,69.04,62.33,66.33,HIGH
LAX12,Los Angeles,CA,7.1,72.37,Good,82.92,57.65,25.27,baseline_pue; load_growth_rate; energy_pct_opex,64.3,77.44,67.46,77.26,70.37,74.37,HIGH
SIN-1,Singapore,N/A,7.3,72.48,Good,83.01,57.8,25.21,baseline_pue; load_growth_rate; energy_pct_opex,64.45,77.53,67.57,77.37,70.48,74.48,HIGH
Equinix FR2,Frankfurt,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Telehouse Frankfurt,Frankfurt,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Maincubes FRA01,Offenbach,Hesse,8.0,67.26,Good,78.83,53.73,25.1,baseline_pue; load_growth_rate; energy_pct_opex,60.23,71.99,62.56,71.94,65.26,69.26,HIGH
Equinix TY5,Tokyo,Tokyo,7.0,65.19,Good,76.65,51.68,24.97,baseline_pue; load_growth_rate; energy_pct_opex,58.18,69.83,60.5,69.85,63.19,67.19,HIGH
Serangoon,Singapore,N/A,8.6,73.07,Good,83.5,58.6,24.9,baseline_pue; load_growth_rate; energy_pct_opex,65.22,78.04,68.2,77.94,71.07,75.07,HIGH
Wilhelm Fay Strasse 24 FRA30,Frankfurt,,9.0,67.74,Good,79.22,54.38,24.84,baseline_pue; load_growth_rate; energy_pct_opex,60.84,72.39,63.06,72.4,65.74,69.74,HIGH
Weismullerstrasse 34 (FRA14),Frankfurt,,9.6,67.97,Good,79.42,54.7,24.72,baseline_pue; load_growth_rate; energy_pct_opex,61.15,72.6,63.31,72.63,65.97,69.97,HIGH
EDCSEA01,Seattle,WA,4.5,44.84,Moderate,55.6,30.89,24.71,baseline_pue; load_growth_rate; energy_pct_opex,37.59,49.02,40.21,49.42,42.84,46.84,HIGH
h.J.E Wenckebachweg 127 (AMS18),Amsterdam,,6.6,63.37,Good,74.67,49.97,24.7,baseline_pue; load_growth_rate; energy_pct_opex,56.47,67.9,58.71,68.01,61.37,65.37,HIGH
Bangkok 2 Data Center,Chon Buri,,4.5,49.51,Moderate,60.4,35.71,24.69,baseline_pue; load_growth_rate; energy_pct_opex,42.35,53.77,44.87,54.1,47.51,51.51,HIGH
SDC Manhattan,New York,NY,18.0,73.24,Good,83.17,58.51,24.66,baseline_pue; load_growth_rate; energy_pct_opex,66.52,77.92,68.57,77.9,69.64,73.64,HIGH
Equinix FR6,Frankfurt,Hesse,10.0,68.12,Good,79.53,54.89,24.64,baseline_pue; load_growth_rate; energy_pct_opex,61.34,72.72,63.46,72.76,66.12,70.12,HIGH
Equinix FR8,Frankfurt,Hesse,10.0,68.12,Good,79.53,54.89,24.64,baseline_pue; load_growth_rate; energy_pct_opex,61.34,72.72,63.46,72.76,66.12,70.12,HIGH
Equinix TY6,Tokyo,Tokyo,8.0,65.83,Good,77.17,52.54,24.63,baseline_pue; load_growth_rate; energy_pct_opex,59.01,70.39,61.17,70.47,63.83,67.83,HIGH
Telehouse Koto 2,Tokyo,Tokyo,8.0,65.83,Good,77.17,52.54,24.63,baseline_pue; load_growth_rate; energy_pct_opex,59.01,70.39,61.17,70.47,63.83,67.83,HIGH
Colt Inzai 1,Inzai,Chiba,8.0,65.83,Good,77.17,52.54,24.63,baseline_pue; load_growth_rate; energy_pct_opex,59.01,70.39,61.17,70.47,63.83,67.83,HIGH
Industriparken 24 CPH3,Ballerup,,4.8,52.32,Good,63.19,38.76,24.43,baseline_pue; load_growth_rate; energy_pct_opex,45.35,56.56,47.7,56.89,50.32,54.32,HIGH
T5 LA,Los Angeles,CA,12.0,74.02,Good,84.28,59.88,24.4,baseline_pue; load_growth_rate; energy_pct_opex,66.44,78.86,69.19,78.84,72.02,76.02,HIGH
STT 2,Singapore,N/A,12.0,74.02,Good,84.28,59.88,24.4,baseline_pue; load_growth_rate; energy_pct_opex,66.44,78.86,69.19,78.84,72.02,76.02,HIGH
Weismullerstrasse 25-27 FRA9,Frankfurt,,1.2,46.53,Moderate,58.9,34.51,24.39,baseline_pue; load_growth_rate; energy_pct_opex,40.75,51.15,42.03,51.03,44.53,48.53,HIGH
Equinix HE3,Helsinki,,5.0,40.65,Moderate,51.15,26.79,24.36,baseline_pue; load_growth_rate; energy_pct_opex,33.5,44.64,36.06,45.18,38.65,42.65,HIGH
Equinix FR5,Frankfurt,Hesse,12.0,68.68,Good,80.0,55.66,24.34,baseline_pue; load_growth_rate; energy_pct_opex,62.07,73.21,64.05,73.31,66.68,70.68,HIGH
Maincubes FRA02,Schwalbach,Hesse,12.0,68.68,Good,80.0,55.66,24.34,baseline_pue; load_growth_rate; energy_pct_opex,62.07,73.21,64.05,73.31,66.68,70.68,HIGH
GDC CA1,Sacramento,CA,12.6,74.13,Good,84.37,60.04,24.33,baseline_pue; load_growth_rate; energy_pct_opex,66.58,78.96,69.31,78.95,72.13,76.13,HIGH
Gotspace Norwich Campus,Norwich,CT,96.0,76.34,Excellent,85.99,61.69,24.3,baseline_pue; load_growth_rate; energy_pct_opex,69.67,81.09,71.67,81.02,72.74,76.74,HIGH
STT 1,Singapore,N/A,13.0,74.2,Good,84.43,60.13,24.3,baseline_pue; load_growth_rate; energy_pct_opex,66.67,79.02,69.38,79.02,72.2,76.2,HIGH
SIN11,Singapore,N/A,13.2,74.24,Good,84.46,60.18,24.28,baseline_pue; load_growth_rate; energy_pct_opex,66.72,79.04,69.41,79.05,72.24,76.24,HIGH
Equinix SG1,Singapore,N/A,13.5,74.29,Good,84.5,60.24,24.26,baseline_pue; load_growth_rate; energy_pct_opex,66.78,79.09,69.46,79.1,72.29,76.29,HIGH
STT 5,Singapore,N/A,13.8,74.33,Good,84.54,60.3,24.24,baseline_pue; load_growth_rate; energy_pct_opex,66.84,79.13,69.51,79.14,72.33,76.33,HIGH
GDC CA3,Sacramento,CA,14.0,74.36,Good,84.56,60.34,24.22,baseline_pue; load_growth_rate; energy_pct_opex,66.88,79.15,69.54,79.17,72.36,76.36,HIGH
Calle de Alfonso Gomez MAD4,Madrid,,5.0,52.75,Good,63.54,39.34,24.2,baseline_pue; load_growth_rate; energy_pct_opex,45.9,56.92,48.15,57.3,50.75,54.75,HIGH
Equinix TY8,Tokyo,Tokyo,10.0,66.73,Good,77.91,53.76,24.15,baseline_pue; load_growth_rate; energy_pct_opex,60.17,71.16,62.11,71.32,64.73,68.73,HIGH
STT 3,Singapore,N/A,15.2,74.52,Good,84.7,60.56,24.14,baseline_pue; load_growth_rate; energy_pct_opex,67.09,79.29,69.71,79.32,72.52,76.52,HIGH
Bahnhof Thule,Stockholm,Stockholm,3.0,37.6,Moderate,49.63,25.5,24.13,baseline_pue; load_growth_rate; energy_pct_opex,31.3,42.78,32.62,42.48,35.6,39.6,HIGH
Science Park 120 (AMS17),Amsterdam,,8.2,64.49,Good,75.59,51.48,24.11,baseline_pue; load_growth_rate; energy_pct_opex,57.91,68.87,59.88,69.07,62.49,66.49,HIGH
Vandagatan 3 STO6,Kista,,4.9,46.02,Moderate,56.58,32.49,24.09,baseline_pue; load_growth_rate; energy_pct_opex,39.11,50.04,41.45,50.55,44.02,48.02,HIGH
MSP-2,Eagan,MN,5.0,51.19,Good,61.89,37.81,24.08,baseline_pue; load_growth_rate; energy_pct_opex,44.38,55.3,46.61,55.73,49.19,53.19,HIGH
Equinix FR4,Frankfurt,Hesse,15.0,69.25,Good,80.47,56.43,24.04,baseline_pue; load_growth_rate; energy_pct_opex,62.81,73.7,64.65,73.85,67.25,71.25,HIGH
PROEN OTT DC,Bangkok,,5.0,52.34,Good,61.41,37.37,24.04,baseline_pue; load_growth_rate; energy_pct_opex,45.54,56.43,47.76,56.87,48.74,52.74,HIGH
SG1,Singapore,N/A,17.0,74.72,Good,84.86,60.83,24.03,baseline_pue; load_growth_rate; energy_pct_opex,67.34,79.46,69.92,79.52,72.72,76.72,HIGH
STT 4,Singapore,N/A,18.0,74.82,Good,84.94,60.96,23.98,baseline_pue; load_growth_rate; energy_pct_opex,67.47,79.54,70.02,79.61,72.82,76.82,HIGH
Hanauer Landstrasse 320 FRA18,Frankfurt,,16.0,69.4,Good,80.59,56.62,23.97,baseline_pue; load_growth_rate; energy_pct_opex,62.99,73.82,64.8,73.99,67.4,71.4,HIGH
Maincubes FRA03,Schwalbach,Hesse,16.0,69.4,Good,80.59,56.62,23.97,baseline_pue; load_growth_rate; energy_pct_opex,62.99,73.82,64.8,73.99,67.4,71.4,HIGH
Equinix SK1,Bromma,Stockholm,5.0,46.29,Moderate,56.8,32.85,23.95,baseline_pue; load_growth_rate; energy_pct_opex,39.46,50.27,41.73,50.8,44.29,48.29,HIGH
EcoDataCenter Stockholm,Stockholm,Stockholm,5.0,46.29,Moderate,56.8,32.85,23.95,baseline_pue; load_growth_rate; energy_pct_opex,39.46,50.27,41.73,50.8,44.29,48.29,HIGH
Keppel Floating DC Singapore,Singapore,N/A,19.2,74.92,Good,85.02,61.1,23.92,baseline_pue; load_growth_rate; energy_pct_opex,67.59,79.63,70.13,79.7,72.92,76.92,HIGH
Parkwest Industiral Estate DUB1,Dublin,,1.0,57.0,Good,66.55,42.63,23.92,baseline_pue; load_growth_rate; energy_pct_opex,49.25,60.33,52.51,61.38,55.0,59.0,HIGH
SIN10,Singapore,N/A,20.4,75.0,Excellent,85.09,61.22,23.87,baseline_pue; load_growth_rate; energy_pct_opex,67.71,79.71,70.22,79.78,73.0,77.0,HIGH
Digital Realty FRA10,Frankfurt,Hesse,18.0,69.63,Good,80.79,56.94,23.85,baseline_pue; load_growth_rate; energy_pct_opex,63.3,74.03,65.05,74.21,67.63,71.63,HIGH
Digital Realty FRA16,Frankfurt,Hesse,18.0,69.63,Good,80.79,56.94,23.85,baseline_pue; load_growth_rate; energy_pct_opex,63.3,74.03,65.05,74.21,67.63,71.63,HIGH
NTT Frankfurt 3,Frankfurt,Hesse,18.0,69.63,Good,80.79,56.94,23.85,baseline_pue; load_growth_rate; energy_pct_opex,63.3,74.03,65.05,74.21,67.63,71.63,HIGH
Telehouse Tama 3,Tama,Tokyo,12.0,67.32,Good,78.41,54.57,23.84,baseline_pue; load_growth_rate; energy_pct_opex,60.94,71.67,62.74,71.89,65.32,69.32,HIGH
AT TOKYO CC1,Tokyo,Tokyo,12.0,67.32,Good,78.41,54.57,23.84,baseline_pue; load_growth_rate; energy_pct_opex,60.94,71.67,62.74,71.89,65.32,69.32,HIGH
Weismullerstrase 1 (FRA15),Frankfurt,,19.2,69.75,Good,80.88,57.11,23.77,baseline_pue; load_growth_rate; energy_pct_opex,63.45,74.13,65.17,74.33,67.75,71.75,HIGH
Equinix FR7,Frankfurt,Hesse,20.0,69.82,Good,80.94,57.2,23.74,baseline_pue; load_growth_rate; energy_pct_opex,63.54,74.19,65.24,74.4,67.82,71.82,HIGH
NTT Frankfurt 2,Frankfurt,Hesse,20.0,69.82,Good,80.94,57.2,23.74,baseline_pue; load_growth_rate; energy_pct_opex,63.54,74.19,65.24,74.4,67.82,71.82,HIGH
CyrusOne FRA1,Frankfurt,Hesse,20.0,69.82,Good,80.94,57.2,23.74,baseline_pue; load_growth_rate; energy_pct_opex,63.54,74.19,65.24,74.4,67.82,71.82,HIGH
AWS FRA54,Frankfurt,Hesse,20.0,68.22,Good,80.94,57.2,23.74,baseline_pue; load_growth_rate; energy_pct_opex,61.94,72.59,63.64,72.8,67.82,71.82,HIGH
GDC CA2,Sacramento,CA,26.1,75.31,Excellent,85.34,61.63,23.71,baseline_pue; load_growth_rate; energy_pct_opex,68.1,79.97,70.54,80.08,73.31,77.31,HIGH
Koolhovenlaan 25 AMS6,Amsterdam,,10.0,65.32,Good,76.28,52.6,23.68,baseline_pue; load_growth_rate; energy_pct_opex,58.98,69.58,60.75,69.87,63.32,67.32,HIGH
Digital Realty FRA17,Frankfurt,Hesse,22.0,69.98,Good,81.07,57.41,23.66,baseline_pue; load_growth_rate; energy_pct_opex,63.74,74.33,65.41,74.54,67.98,71.98,HIGH
SGIGSM01,Rio de Janeiro,Rio de Janeiro,7.8,62.25,Good,73.11,49.46,23.65,baseline_pue; load_growth_rate; energy_pct_opex,55.87,66.45,57.69,66.79,60.25,64.25,HIGH
MN01,Minneapolis,MN,5.4,53.59,Good,62.55,38.9,23.65,baseline_pue; load_growth_rate; energy_pct_opex,47.02,57.59,49.05,58.1,49.99,53.99,HIGH
AT TOKYO CC2,Tokyo,Tokyo,14.0,67.75,Good,78.76,55.14,23.62,baseline_pue; load_growth_rate; energy_pct_opex,61.49,72.04,63.19,72.3,65.75,69.75,HIGH
Vantage FRA11,Offenbach,Hesse,24.0,70.11,Good,81.18,57.59,23.59,baseline_pue; load_growth_rate; energy_pct_opex,63.91,74.44,65.54,74.67,68.11,72.11,HIGH
CyrusOne FRA2,Frankfurt,Hesse,24.0,70.11,Good,81.18,57.59,23.59,baseline_pue; load_growth_rate; energy_pct_opex,63.91,74.44,65.54,74.67,68.11,72.11,HIGH
Microsoft FRA29,Frankfurt,Hesse,24.0,68.51,Good,81.18,57.59,23.59,baseline_pue; load_growth_rate; energy_pct_opex,62.31,72.84,63.94,73.07,68.11,72.11,HIGH
NTT Frankfurt 1,Frankfurt,Hesse,25.0,70.17,Good,81.22,57.66,23.56,baseline_pue; load_growth_rate; energy_pct_opex,63.98,74.49,65.6,74.72,68.17,72.17,HIGH
DC West,Singapore,N/A,36.0,77.21,Excellent,85.59,62.04,23.55,baseline_pue; load_growth_rate; energy_pct_opex,70.1,81.83,72.46,81.97,73.61,77.61,HIGH
NTT Tokyo 1,Tokyo,Tokyo,15.0,67.92,Good,78.9,55.38,23.52,baseline_pue; load_growth_rate; energy_pct_opex,61.71,72.19,63.36,72.47,65.92,69.92,HIGH
Colt Inzai 2,Inzai,Chiba,15.0,67.92,Good,78.9,55.38,23.52,baseline_pue; load_growth_rate; energy_pct_opex,61.71,72.19,63.36,72.47,65.92,69.92,HIGH
STT 6,Singapore,N/A,40.0,75.69,Excellent,85.66,62.15,23.51,baseline_pue; load_growth_rate; energy_pct_opex,68.6,80.3,70.94,80.44,73.69,77.69,HIGH
Calle de Emilio Munoz 49-51 MAD3,Madrid,,5.8,54.16,Good,64.71,41.25,23.46,baseline_pue; load_growth_rate; energy_pct_opex,47.73,58.14,49.63,58.65,52.16,56.16,HIGH
Sin12,Singapore,N/A,50.0,75.84,Excellent,85.78,62.34,23.44,baseline_pue; load_growth_rate; energy_pct_opex,68.78,80.42,71.09,80.58,73.84,77.84,HIGH
Equinix FR11x,Frankfurt,Hesse,30.0,70.39,Good,81.41,57.97,23.44,baseline_pue; load_growth_rate; energy_pct_opex,64.28,74.68,65.84,74.94,68.39,72.39,HIGH
Digital Realty FRA32,Frankfurt,Hesse,30.0,70.39,Good,81.41,57.97,23.44,baseline_pue; load_growth_rate; energy_pct_opex,64.28,74.68,65.84,74.94,68.39,72.39,HIGH
NTT Frankfurt 4,Frankfurt,Hesse,30.0,70.39,Good,81.41,57.97,23.44,baseline_pue; load_growth_rate; energy_pct_opex,64.28,74.68,65.84,74.94,68.39,72.39,HIGH
DC Tuas,Singapore,N/A,58.0,77.52,Excellent,85.84,62.45,23.39,baseline_pue; load_growth_rate; energy_pct_opex,70.49,82.09,72.77,82.26,73.92,77.92,HIGH
HD-1,Hyderabad,Telangana,5.5,45.07,Moderate,55.32,31.95,23.37,baseline_pue; load_growth_rate; energy_pct_opex,38.51,48.85,40.56,49.53,43.07,47.07,HIGH
HostDime Brazil,São Paulo,São Paulo,5.9,55.65,Good,64.55,41.21,23.34,baseline_pue; load_growth_rate; energy_pct_opex,49.27,59.6,51.13,60.13,52.05,56.05,HIGH
CA1,Santa Clara,CA,77.0,76.04,Excellent,85.94,62.61,23.33,baseline_pue; load_growth_rate; energy_pct_opex,69.04,80.6,71.3,80.77,74.04,78.04,HIGH
Equinix TY11,Tokyo,Tokyo,18.0,68.32,Good,79.23,55.92,23.31,baseline_pue; load_growth_rate; energy_pct_opex,62.23,72.53,63.78,72.85,66.32,70.32,HIGH
NTT Tokyo 2,Tokyo,Tokyo,18.0,68.32,Good,79.23,55.92,23.31,baseline_pue; load_growth_rate; energy_pct_opex,62.23,72.53,63.78,72.85,66.32,70.32,HIGH
Equinix FR9x,Frankfurt,Hesse,40.0,70.68,Good,81.65,58.36,23.29,baseline_pue; load_growth_rate; energy_pct_opex,64.64,74.93,66.14,75.21,68.68,72.68,HIGH
RJ2,Rio de Janeiro,Rio de Janeiro,9.0,62.94,Good,73.68,50.39,23.29,baseline_pue; load_growth_rate; energy_pct_opex,56.76,67.05,58.42,67.45,60.94,64.94,HIGH
SVY01C,San Jose,CA,100.0,76.12,Excellent,86.01,62.73,23.28,baseline_pue; load_growth_rate; energy_pct_opex,69.15,80.67,71.39,80.86,74.12,78.12,HIGH
SP1,Osasco,São Paulo,6.0,54.2,Good,64.67,41.4,23.27,baseline_pue; load_growth_rate; energy_pct_opex,47.86,58.12,49.68,58.67,52.2,56.2,HIGH
NTT Tokyo 5,Mitaka,Tokyo,20.0,68.52,Good,79.39,56.18,23.21,baseline_pue; load_growth_rate; energy_pct_opex,62.49,72.7,63.99,73.04,66.52,70.52,HIGH
Colt Inzai 4,Inzai,Chiba,20.0,68.52,Good,79.39,56.18,23.21,baseline_pue; load_growth_rate; energy_pct_opex,62.49,72.7,63.99,73.04,66.52,70.52,HIGH
Tamboré,São Paulo,São Paulo,6.1,54.34,Good,64.79,41.6,23.19,baseline_pue; load_growth_rate; energy_pct_opex,48.05,58.24,49.83,58.81,52.34,56.34,HIGH
Telehouse Tama 5,Tama,Tokyo,24.0,68.82,Good,79.64,56.59,23.05,baseline_pue; load_growth_rate; energy_pct_opex,62.87,72.96,64.3,73.32,66.82,70.82,HIGH
Pudonweg 37 (AMS8),Amsterdam,,14.8,66.54,Good,77.29,54.26,23.03,baseline_pue; load_growth_rate; energy_pct_opex,60.56,70.63,62.03,71.04,64.54,68.54,HIGH
Cessnalaan 50 AMS7,Amsterdam,,14.8,66.54,Good,77.29,54.26,23.03,baseline_pue; load_growth_rate; energy_pct_opex,60.56,70.63,62.03,71.04,64.54,68.54,HIGH
NTT Tokyo 10,Mitaka,Tokyo,25.0,68.88,Good,79.69,56.67,23.02,baseline_pue; load_growth_rate; energy_pct_opex,62.95,73.01,64.37,73.38,66.88,70.88,HIGH
Global Hubs - London,London,London,1.4,67.45,Good,73.84,50.84,23.0,baseline_pue; load_growth_rate; energy_pct_opex,60.16,69.54,63.4,71.43,63.85,67.85,HIGH
Digital Realty NRT10,Inzai,Chiba,26.0,68.93,Good,79.73,56.74,22.99,baseline_pue; load_growth_rate; energy_pct_opex,63.02,73.06,64.42,73.43,66.93,70.93,HIGH
Colt Inzai 3,Inzai,Chiba,27.0,68.98,Good,79.77,56.81,22.96,baseline_pue; load_growth_rate; energy_pct_opex,63.09,73.1,64.48,73.48,66.98,70.98,HIGH
Equinix HE1,Helsinki,,6.0,43.34,Moderate,53.36,30.43,22.93,baseline_pue; load_growth_rate; energy_pct_opex,36.97,46.96,38.87,47.75,41.34,45.34,HIGH
Servecentric Dublin,Dublin,Leinster,3.0,74.55,Good,79.68,56.84,22.84,baseline_pue; load_growth_rate; energy_pct_opex,65.55,75.65,70.76,78.23,70.95,74.95,HIGH
Dub11,Clonshaugh,,3.0,72.95,Good,79.68,56.84,22.84,baseline_pue; load_growth_rate; energy_pct_opex,63.95,74.05,69.16,76.63,70.95,74.95,HIGH
Hanauer Landstrasse 304-306 (FRA2),Frankfurt,,0.4,46.53,Moderate,57.35,34.51,22.84,baseline_pue; load_growth_rate; energy_pct_opex,40.75,50.66,42.03,51.03,44.53,48.53,HIGH
DataBank IAD1,Ashburn,VA,6.0,45.5,Moderate,55.54,32.73,22.81,baseline_pue; load_growth_rate; energy_pct_opex,39.23,49.12,41.04,49.9,43.5,47.5,HIGH
Conapto Stockholm 3 North,Sollentuna,,6.0,50.06,Good,58.59,35.79,22.8,baseline_pue; load_growth_rate; energy_pct_opex,43.87,53.74,45.6,54.48,46.46,50.46,HIGH
Equinix SK3,Spånga,Stockholm,6.0,48.46,Moderate,58.59,35.79,22.8,baseline_pue; load_growth_rate; energy_pct_opex,42.27,52.14,44.0,52.88,46.46,50.46,HIGH
Digital Realty NRT12,Inzai,Chiba,36.0,69.32,Good,80.05,57.26,22.79,baseline_pue; load_growth_rate; energy_pct_opex,63.52,73.39,64.83,73.8,67.32,71.32,HIGH
Via delle Testuggini (ROM1),Rome,Lazio,35.6,69.3,Good,80.04,57.25,22.79,baseline_pue; load_growth_rate; energy_pct_opex,63.5,73.38,64.81,73.79,67.3,71.3,HIGH
STT Delhi DC 3,New Delhi,Delhi,6.0,46.16,Moderate,56.21,33.42,22.79,baseline_pue; load_growth_rate; energy_pct_opex,39.92,49.79,41.7,50.57,44.16,48.16,HIGH
MUM-2,Mumbai,Maharashtra,6.0,46.16,Moderate,56.21,33.42,22.79,baseline_pue; load_growth_rate; energy_pct_opex,39.92,49.79,41.7,50.57,44.16,48.16,HIGH
